                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                  1.426,                 1.0902,                  1.243,                0.83525,                0.62765,                0.70211,                 0.4866,                 1.5278,                 1.1882,                 1.3082,               0.001288,               0.001288,               0.001288
                     90,                 1.4256,                 1.0891,                  1.243,                0.83709,                0.62869,                0.70379,                0.48824,                 1.5236,                 1.1833,                 1.3055,               0.001189,               0.001189,               0.001189
                     91,                 1.3847,                 1.0309,                 1.2672,                0.83886,                0.63008,                0.70541,                0.49019,                  1.519,                 1.1777,                 1.3026,                0.00109,                0.00109,                0.00109
                     92,                  1.353,                 1.0027,                 1.2458,                0.83917,                0.63164,                0.70708,                0.49211,                 1.5142,                 1.1719,                 1.2993,               0.000991,               0.000991,               0.000991
                     93,                 1.3347,                0.98871,                 1.2387,                0.84209,                0.63329,                0.70866,                0.49416,                  1.509,                  1.166,                 1.2961,               0.000892,               0.000892,               0.000892
                     94,                 1.3166,                0.97075,                 1.2258,                0.84148,                0.63577,                0.71028,                0.49633,                 1.5034,                 1.1594,                 1.2927,               0.000793,               0.000793,               0.000793
                     95,                 1.3055,                0.95788,                 1.2174,                0.84225,                0.63724,                0.71172,                0.49806,                 1.4981,                 1.1529,                 1.2894,               0.000694,               0.000694,               0.000694
                     96,                 1.2961,                0.95007,                 1.2124,                0.84414,                0.63837,                0.71338,                0.50016,                  1.493,                 1.1467,                 1.2861,               0.000595,               0.000595,               0.000595
                     97,                  1.282,                0.94137,                 1.2066,                 0.8453,                0.64038,                0.71486,                0.50192,                 1.4879,                 1.1406,                 1.2829,               0.000496,               0.000496,               0.000496
                     98,                 1.2731,                0.93274,                 1.2007,                0.84557,                0.64234,                 0.7166,                0.50376,                 1.4829,                 1.1347,                 1.2797,               0.000397,               0.000397,               0.000397
                     99,                 1.2655,                0.92423,                 1.1955,                0.84377,                0.64566,                 0.7181,                0.50577,                  1.478,                 1.1288,                 1.2765,               0.000298,               0.000298,               0.000298
                    100,                 1.2592,                0.91774,                 1.1934,                 0.8493,                0.64558,                0.71955,                0.50775,                 1.4733,                  1.123,                 1.2736,               0.000199,               0.000199,               0.000199
